"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"03-Mar-2021","    15064.40","    15273.15","    14995.80","    15245.60","      544205583","        34567.73"
"04-Mar-2021","    15026.75","    15202.35","    14980.20","    15080.75","      534850447","        36036.02"
"05-Mar-2021","    14977.95","    15092.35","    14862.10","    14938.10","      640700362","        37811.60"
"08-Mar-2021","    15002.45","    15111.15","    14919.90","    14956.20","      580308065","        29518.07"
"09-Mar-2021","    15049.90","    15126.85","    14925.45","    15098.40","      675271251","        38365.48"
"10-Mar-2021","    15202.15","    15218.45","    15100.85","    15174.80","      404585756","        25603.32"
